run,fold,AUPRC,AUROC,Accuracy,Precision,Recall,F1_Score
18,3,0.43261095452889464,0.830750688705234,0.7367088607594937,0.20491803278688525,0.78125,0.3246753246753247
18,4,0.23880893075839418,0.7722968319559229,0.7316455696202532,0.16964285714285715,0.59375,0.2638888888888889
18,5,0.34082736873507,0.8485709366391184,0.759493670886076,0.21621621621621623,0.75,0.3356643356643357
19,1,0.2813263050285876,0.8200757575757577,0.7291139240506329,0.2,0.78125,0.3184713375796179
19,2,0.3079119857139113,0.818267906336088,0.7341772151898734,0.2032520325203252,0.78125,0.3225806451612903
19,3,0.3498136526211419,0.8773243801652892,0.6886075949367089,0.19463087248322147,0.90625,0.3204419889502762
19,4,0.332304190429942,0.8417699724517906,0.7670886075949367,0.2222222222222222,0.75,0.34285714285714286
19,5,0.3568509243827538,0.7667871900826446,0.7670886075949367,0.2,0.625,0.30303030303030304
20,1,0.23284167355799634,0.762741046831956,0.7088607594936709,0.16260162601626016,0.625,0.25806451612903225
20,2,0.3020311460793204,0.8022555096418732,0.7670886075949367,0.20588235294117646,0.65625,0.31343283582089554
20,3,0.2875844681307317,0.8660468319559228,0.7164556962025317,0.20588235294117646,0.875,0.33333333333333337
20,4,0.33756270698648,0.8446108815426998,0.7113924050632912,0.19402985074626866,0.8125,0.3132530120481928
20,5,0.3846887633144925,0.8382403581267217,0.7620253164556962,0.21818181818181817,0.75,0.3380281690140845
21,1,0.31147288012171576,0.8662190082644627,0.759493670886076,0.23529411764705882,0.875,0.37086092715231783
21,2,0.31562213636836073,0.8464187327823691,0.7417721518987341,0.20833333333333334,0.78125,0.32894736842105265
21,3,0.4188340827698061,0.8418560606060606,0.7316455696202532,0.20161290322580644,0.78125,0.3205128205128205
21,4,0.3338807890856751,0.8046659779614325,0.7620253164556962,0.20192307692307693,0.65625,0.3088235294117648
21,5,0.25279764971022817,0.7850378787878789,0.7088607594936709,0.183206106870229,0.75,0.294478527607362
22,1,0.4735381123102868,0.8931646005509641,0.7645569620253164,0.23478260869565218,0.84375,0.3673469387755102
22,2,0.3082326328532514,0.8149104683195592,0.7417721518987341,0.19827586206896552,0.71875,0.31081081081081086
22,3,0.25357636254655325,0.7898588154269972,0.7417721518987341,0.18181818181818182,0.625,0.28169014084507044
22,4,0.2702854543049194,0.8237775482093664,0.7443037974683544,0.21487603305785125,0.8125,0.33986928104575165
22,5,0.38632571947722816,0.8267906336088154,0.7240506329113924,0.1968503937007874,0.78125,0.3144654088050315
23,1,0.23861082811090867,0.7948519283746556,0.6886075949367089,0.1678832116788321,0.71875,0.272189349112426
23,2,0.421997788959148,0.865874655647383,0.6632911392405063,0.16993464052287582,0.8125,0.2810810810810811
23,3,0.33746702151171826,0.8491735537190083,0.8227848101265823,0.25,0.59375,0.35185185185185186
23,4,0.2806359090521797,0.8071625344352618,0.6835443037974683,0.17482517482517482,0.78125,0.28571428571428575
23,5,0.40819015157241995,0.8428891184573003,0.7113924050632912,0.18461538461538463,0.75,0.29629629629629634
24,1,0.30175600124454677,0.806215564738292,0.7012658227848101,0.16923076923076924,0.6875,0.2716049382716049
24,2,0.3297296217012442,0.8754304407713499,0.7265822784810126,0.21641791044776118,0.90625,0.34939759036144574
24,3,0.2681502414491422,0.7889979338842975,0.7215189873417721,0.175,0.65625,0.2763157894736842
24,4,0.3357756661753801,0.8640668044077136,0.7974683544303798,0.24468085106382978,0.71875,0.3650793650793651
24,5,0.34357099292635224,0.8052685950413223,0.6759493670886076,0.16666666666666666,0.75,0.27272727272727276
25,1,0.3414157679633896,0.8459022038567494,0.7569620253164557,0.21929824561403508,0.78125,0.3424657534246575
25,2,0.40393575687576855,0.7987258953168044,0.6886075949367089,0.17266187050359713,0.75,0.2807017543859649
25,3,0.3015623256373522,0.849776170798898,0.759493670886076,0.21100917431192662,0.71875,0.326241134751773
25,4,0.21870376077737225,0.7827995867768595,0.7088607594936709,0.18796992481203006,0.78125,0.303030303030303
25,5,0.36966360837680523,0.8826618457300275,0.7569620253164557,0.23770491803278687,0.90625,0.37662337662337664
26,1,0.36657784268087584,0.8726756198347108,0.7569620253164557,0.2288135593220339,0.84375,0.36
26,2,0.4322994801245641,0.8534779614325069,0.6810126582278481,0.19078947368421054,0.90625,0.3152173913043478
26,3,0.24477589633234614,0.7826274104683195,0.759493670886076,0.2,0.65625,0.30656934306569344
26,4,0.33829380138784715,0.8509814049586777,0.7493670886075949,0.21367521367521367,0.78125,0.3355704697986577
26,5,0.3380363503855882,0.7946797520661157,0.6784810126582278,0.16783216783216784,0.75,0.2742857142857143
27,1,0.23631562005975204,0.784435261707989,0.7215189873417721,0.175,0.65625,0.2763157894736842
27,2,0.3045352743106306,0.8208505509641874,0.6835443037974683,0.1793103448275862,0.8125,0.29378531073446323
27,3,0.412646013003941,0.8608815426997245,0.7721518987341772,0.24561403508771928,0.875,0.3835616438356165
27,4,0.21181344037317187,0.7717803030303031,0.7291139240506329,0.18487394957983194,0.6875,0.2913907284768212
27,5,0.48148233707452676,0.878271349862259,0.7848101265822784,0.2376237623762376,0.75,0.3609022556390977
28,1,0.34422930812601565,0.8318698347107438,0.7037974683544304,0.1897810218978102,0.8125,0.30769230769230765
28,2,0.26874821726599735,0.8007059228650139,0.7316455696202532,0.19672131147540983,0.75,0.3116883116883117
28,3,0.30316359922519936,0.8257575757575757,0.739240506329114,0.20168067226890757,0.75,0.3178807947019868
28,4,0.45501263211761844,0.8797348484848485,0.6784810126582278,0.18120805369127516,0.84375,0.29834254143646405
28,5,0.25318820281328136,0.8191287878787878,0.7544303797468355,0.2072072072072072,0.71875,0.32167832167832167
29,1,0.432633959871061,0.8323002754820936,0.7468354430379747,0.211864406779661,0.78125,0.3333333333333333
29,2,0.30394716978584524,0.8332472451790635,0.6987341772151898,0.17293233082706766,0.71875,0.2787878787878788
29,3,0.2442738520564605,0.8068181818181819,0.6936708860759494,0.17985611510791366,0.78125,0.29239766081871343
29,4,0.2612711107384939,0.7935606060606061,0.7746835443037975,0.20618556701030927,0.625,0.31007751937984496
29,5,0.35842148202056273,0.8468491735537189,0.7291139240506329,0.2,0.78125,0.3184713375796179
30,1,0.3804291487657445,0.853477961432507,0.7518987341772152,0.21551724137931033,0.78125,0.33783783783783783
30,2,0.26676031126926175,0.8141356749311295,0.759493670886076,0.21100917431192662,0.71875,0.326241134751773
30,3,0.2313205287619907,0.7864152892561984,0.7063291139240506,0.171875,0.6875,0.275
30,4,0.3554219765456789,0.8570936639118457,0.7291139240506329,0.2047244094488189,0.8125,0.3270440251572327
30,5,0.41040925163536984,0.8330750688705234,0.7215189873417721,0.18032786885245902,0.6875,0.2857142857142857
